slots_per_layer,pin_recent_steps,decode_tokens,expert_accesses,byte_hit_rate,blocking_misses,misses_per_token,routed_bytes,resident_weight_bytes,projected_reclaim_bytes,resident_weight_gib,projected_reclaim_gib,evidence
376,0,1033,909040,0.923192598785532,69821,67.59051306873185,46572743680,63451869344,16845460480,59.094,15.689,checkpoint_header_projection
380,0,1033,909040,0.9259581536566047,67307,65.1568247821878,47068198400,63947324064,16350005760,59.556,15.227,checkpoint_header_projection
382,0,1033,909040,0.9273684326322275,66025,63.915779283639885,47315925760,64195051424,16102278400,59.786,14.996,checkpoint_header_projection
383,0,1033,909040,0.9280493707647628,65406,63.31655372700871,47439789440,64318915104,15978414720,59.902,14.881,checkpoint_header_projection
384,0,1033,909040,0.928705007480419,64810,62.73959341723136,47563653120,64442778784,15854551040,60.017,14.766,checkpoint_header_projection
376,8,1033,909040,0.9258591481122943,67397,65.24394966118102,46572743680,63451869344,16845460480,59.094,15.689,checkpoint_header_projection
380,8,1033,909040,0.9285080964534014,64989,62.91287512100678,47068198400,63947324064,16350005760,59.556,15.227,checkpoint_header_projection
382,8,1033,909040,0.9298160696999032,63800,61.76185866408519,47315925760,64195051424,16102278400,59.786,14.996,checkpoint_header_projection
383,8,1033,909040,0.9304739065387662,63202,61.18296224588577,47439789440,64318915104,15978414720,59.902,14.881,checkpoint_header_projection
384,8,1033,909040,0.9310624394966118,62667,60.66505324298161,47563653120,64442778784,15854551040,60.017,14.766,checkpoint_header_projection
376,32,1033,909040,0.9265598873536918,66760,64.6272991287512,46572743680,63451869344,16845460480,59.094,15.689,checkpoint_header_projection
380,32,1033,909040,0.9291835342779196,64375,62.31848983543078,47068198400,63947324064,16350005760,59.556,15.227,checkpoint_header_projection
382,32,1033,909040,0.9304717064155593,63204,61.18489835430784,47315925760,64195051424,16102278400,59.786,14.996,checkpoint_header_projection
383,32,1033,909040,0.9311306433160257,62605,60.605033881897384,47439789440,64318915104,15978414720,59.902,14.881,checkpoint_header_projection
384,32,1033,909040,0.931715876089061,62073,60.09002904162633,47563653120,64442778784,15854551040,60.017,14.766,checkpoint_header_projection
